1.0	it	2015-10-16 11:40:32Z
		
(General)		(Generale)
(Main)		(Principale)
_3D_Extrude	3D Extrude	Estrudi 3D
_3D_Profile	3D Profile	Profilo 3D
_3DStudioFiles	3D Studio Files	I file 3D Studio
_CleanShapeList Test		_CleanShapeList Test
{0} is currently not licensed.  To install a license, enter the key you received on purchasing the product and click OK.    You may continue to evaluate the product under the terms of the evaluation license by leaving the License Key blank. 		{0} non è attualmente concesso in licenza. Per installare una licenza, digitare il codice che hai ricevuto all'acquisto del prodotto e fai click su OK. È possibile continuare a valutare il prodotto secondo i termini della licenza di valutazione lasciando vuoto il codice di licenza.
1/2" x 1/2" x 1/16"		1 / 2 "x 1 / 2" x 1 / 16 "
100		100
100%		100%
3D Profile		Profilo 3D
3D Surface		Superficie 3D 
3D Surface - Back Face		Superficie 3D - Faccia posteriore
3D Surface - Boundary		Superficie 3D - Contorno
3DSurface		Superficie 3D 
A Axis		Asse A
A Axis.info		Il valore di A
Abort		Interrompi
Aborting current operations...		Interruzione operazioni in corso ...
About		Riguardo a  
Absolute		Assoluto
Acceleration		Accelerazione
Acceleration.info		Accelerazione.info
AD2CB Plugin		AD2CB Plugin
Add Line Numbers		Aggiungi numeri di riga
Add machine definition		Aggiungi definizione della macchina
Add material		Aggiungi materiale
Add Tab		Aggiungi Scheda
Add tool		Aggiungi Utensile
Add_Holding_Tab	Add holding tab	Aggiungi Fermi
Additive		Additivo
Additive.info	If set to True then do a bottom up toolpath suitable for (additive) extrusion heads.	Se impostato su Vero genera un PU additivo, dal basso verso l'alto, adatto per teste di estrusione. 
Adjust Cut Width		Regola la Larghezza di taglio
Adjust Cut Width.info	False - the toolpaths will just follow the calculated profile.\r\nTrue - machine all the stock layers above as well as on the profile (rouging)	Se Falso - Il PU si limiterà a seguire il profilo calcolato.\r\n\r\nSe Vero - Lavora tutti gli strati superiori del materiale, nonché il profilo (sgrossatura)
Advanced		Avanzato
Align		Allinea
Align Objects		Allinea gli oggetti
All		Tutti
All MOPs Per Copy		Tutte le MOP per copia
All open documents		Tutti i documenti aperti
AllFiles	All Files	Tutti i file
AllGeometryFiles	All Geometry Files	Tutti i file Geometria
AllScriptFiles	All Script Files	Tutti i File di script
alpha		Trasparenza linea
Alpha		Alfa
Alpha.info	Layer transparancy (0.0 to 1.0). 0 is hidden, 1 is 100% (solid), 0.5 is 50% transparancy (faded).	Trasparenza Livello (da 0,0 a 1,0). 0 è nascosta, 1 è al 100% (solido), 0,5 è trasparente al 50%  (sbiadito).
ALT+Left		ALT + Sinistra
Aluminium Extrusions		Estrusioni in alluminio
Always		Sempre
Amount		Quantità
AND_RELATED_MOPS	and all related machining operations?	e tutte le Lavorazioni (MOP) connesse?
AND_RELATED_PRIMS	and all related drawing objects?	e tutti gli oggetti di disegno correlati?
Angle per step (RotX,RotY,RotZ)		Angolo di rotazione (RotX, RotY, Rotz)
Angles		Angoli
Anti-alias		Anti-alias
Apply		Applica
Apply Transformations		Applica Trasformazioni
Apply_Transformations	Apply transformations	Applica Trasformazioni
